text,target,stance
"There is another way that our population growth will be our undoing: There are not enough meaningful jobs on the planet for the number of people who are already on it. With our efficiencies in production, and the limits to natural resources, this problem will get worse over time. We do have a population problem, a serious one, but it is more than just numbers and how to feed them. We can make it so large numbers of people do not die, but that doesn't mean this planet can be manipulated so that those same large number of people can truly live.",population growth,AGAINST
"As someone who was permanently disabled due to a Christian Science upbringing, I wholeheartedly support this call to eliminate religious loopholes in child protection laws. Children deserve equal protection, regardless of what church their parents attend. Quite honestly, I don't see why this concept is so difficult for legislators to grasp. We already forbid some child neglect and abuse--why not forbid all of it?",medical care,FAVOR
RT @Whitetruckfixer: @ACTBrigitte He actually is threatening to extend the lockdown over this! NYC must be freed up to heal!,lockdown in new york state,AGAINST
"I've been vegan for 20 years and I feel great. I supplement with B-12, Vitamin D and Flax Seed Oil for Omega 3's. I exercise daily and don't drink or smoke. As others have said, is the problem that my diet may lack animal flesh and a few easily replaced nutrients or that that so many carnivores eat way too much of both flesh and everything else? I",veganism,FAVOR
"--""We don't know but we do know a designer wasn't involved.""--That's not how science works my confused ID proponent.The fact remains, that, even in your response, you have failed to show that ID is scientifically relevant.For that I thank you, it's most educational when one can provide some 'live examples'",creationism,AGAINST
"Just let me know when I make my reservation. I'll bring my own salt shaker like I bring my own Spleda. I know I can ask for the mustard and the ketchup when I go to my usual spots. After eighty years and many cities,towns, and countries the best cook for me is me.",salt,FAVOR
They did it in another debate too on the same topic. My guess is it's probably one if the school-aged among us with way too much time on their hands creating multiple accounts. Pretty stupid.,gay rights,AGAINST
"If banks were doing what banks have traditionally done, i.e. provide credit for home purchases, small businesses, etc. they would not have to assess so many largely hidden fees. It seems since the financial collapse of 2008, banks are afraid to loan money. Even with interest rates as low as they are, providing consumers and the economy this essential service would provide them with the income they need to function.",loan money,AGAINST
"Restricting access is essential since the world population has exploded and the a significant fraction of the National Park visitors are foreigners. The last time I hiked to the top of Half Dome in 2006, it was an awful experience with people falling over each other like in a shopping mall. Same with the hike to Cloud's Rest. I'm glad they introduced the lottery system for Half Dome. If folks really care about spending time in these precious places, they should have to make the early reservations for the most crowded places. I know we live in an instant gratification society, but we got to draw the line somewhere. In any case, there are several excellent Parks where once can go find camping spots on a first-come basis.",overcrowded national parks,AGAINST
"It should be clear by now that, given enough slack in their leash, the banks will take the path of highest leverage without concern for risk. Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough. Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else's money and lost. We desperately need the Glass Steagall wall between deposits and investments. It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy. Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity? The rapid rise in personal debt in the form of credit card debt, mortgages and student loans is feeding these to-big-to fail financial behemoths that throw their weight around Washington.",bail out,AGAINST
"After working in finance for long enough, I went back to school in an Economics Graduate program. Absolutely fascinated by the intricate mathematical modeling and discussions about the sign of the second derivative of some elaborate equation, indicating an unseen truth about the complexity of the world. Soon enough I realized that the discussion participants could not care less about that grand topic -- it was strictly an appeal to math wizardry. Amusing, but essentially worthless theory.",economists,FAVOR
"Every time I go through airport security, it reminds me someone is trying to blow me up. I say, ""Fight back. Blow him up."" When they are willing to call off their shoe bombers and underwear bombers and others trying to blow up my airplane or hijack it and fly it into a building, then I will oppose trying to take out their leaders with drones. While that group of thugs is trying to kill us at home and killing us abroad, I am for taking out their leaders.",attacts,AGAINST
"Actually, it's a great idea, especially for law enforcement. Given that most illegal or undocumented people exists as electronic phantoms, with fake names or numbers, having a real set of ID, even if foreign derived, can be the loose thread needed to provide police with details on just who someone is. Police can then apply to the home country of a suspect to check for wants and warrants; if anything, it no longer allows the undocumented to hide in the shadow of anonymity as the government will now have access to a name, face, and fingerprint. It's an excellent idea.",all immigrants,AGAINST
"I'm curious, you really think that god made you gay which you think is immoral...despite that it hurts no one?And I'm curious, why are you under the impression a gay lifestyle is less healthy than, say, a straight couple practicing anal and oral sex?",gay rights,FAVOR
"#TheTale screens at @MovingImageNYC tonight, followed by a Q&amp;A with Director @jenniferfox and @TaranaBurke of the âme too.â movement - #metoo! https://t.co/BrJqQE2TH0",metoo movement,FAVOR
"Why do some people feel they must impose their lifestyle on others? Is it because they feel slighted by other people mocking their choices, or because they somehow have the what I do is better than what you do gene? The religious fanatics sound just like the people who push for one sort of eating behavior over others. Even Timothy o'Leary felt it was necessary to promote the benefits of LSD as a path to a better way of living. I am 80, still have all my faculties, omnivorous, obese, and lazy. Did outliving half the people who were born in 1932 come as a result of that? Or, more likly is it irrelevant. Maybe getting enough sleep was the factor, or walking everywhere as a teenager, or becoming an atheist after my Bar Mitzphah. Whatever. Oh, why does the Times feel it ingtelligent to publish B.S. like this? You eat what you want to eat, I'll eat what I want to eat and one of us will be in the ground before the other. And the planet will not know it, or even care.",eating habits,FAVOR
"Given the power that money has over most people's decision making, this might just be an idea worth trying. Bottom line, the use of performance-enhancing drugs is disgusting and has caused many people to lose interest in sports, both as competitors and as fans.",doping,AGAINST
"Conservatives make me laugh when they struggle to keep their kids from learning evolution. What they're going to end up doing is keeping their children from having careers in science. Since I'm a liberal, that doesn't sound too bad to me. It keeps the competition down. People who don't accept evolution don't belong in science anyways. The more you cut out of your child's curriculum, the bigger the educational and career advantages you're handing to those kids whose parents aren't as nearly controlling and obsessive and ideologically blinkered as you are. So there is a free market solution to this problem. Maybe the Cato Institute should study that angle before they issue their next statement on the topic.",evolution,FAVOR
"No, but the point remains the same. It's denial of something that's staring you in the face.",creationism,FAVOR
"The money has to come from somewhere. If capital gains are untaxed, that means that the income tax system will become extremely regressive, with the wealthiest Americans paying virtually no taxes, and/or another tax, such as a national sales tax (also regressive) would have to be implemented. Since this scenario takes a lot of dollars out of the pockets of average people who spend their income, demand would take a huge hit. How would that impact growth and job creation? Miron's proposal is, of course, just another permutation of supply side economics. It WILL be unfair, and it won't work.",taxation methods,FAVOR
It is the same large corporate institutions that pushed for outsourcing military functions that have caused skyrocketing costs to provide basic logistics and services in forward deployed units. Civil workers are generally paid less but they get full benefits packages. Overall the cost is far less than subcontracting to a much higher paid layer of executives who take that money and then wine and dine the government hacks who make the decision on contract renewals. It's rife with corruption...,government contracts,AGAINST
"Can India's #MeToo movement change the country? @AJStream is LIVE on Youtube with @TheRestlessQuil, @AGirlOfHerWords, @HavaldarShinde and @TrishaBShetty. Join the conversation https://t.co/2BBI5qbfs0 https://t.co/aSSLYRWRAO",metoo movement,FAVOR
"I live just a few counties away from Sweet Briar, and for me the big surprise in this news was that Sweet Briar was still open to begin with. I had no idea it still existed. I taught for almost 30 years in a good high school here and can't remember a single student going to Sweet Briar after graduation. I wonder who the students were and where they came from.",student,AGAINST
"@ddale8 A visual tribute to #ChristineBlaseyFordWeStandWithYou who survived sexual abuse at the hands of Brett Kavanaugh and had the courage to speak out.

#MeToo https://t.co/4c3eq2pV4F",metoo movement,NONE
"#MeToo: Akbar files defamation case against woman journalist

In the complaint, filed in a Patiala House court, Akbar, a celebrated former editor, has blamed Ramani, a former colleague, for an allegedly defamatory article in Vogue magazine in 2017 as well as her tweets earliâ¦ https://t.co/wne5ysZ4Qd",metoo movement,AGAINST
"Well, that guy just burned a bunch of paper... Why he can't protest against fanatic Muslims? Those who punished him are just getting upset for nothing. Can the burning of a Bible or a Koran means war? this is stupid. People must learn to not get upset for things like that. To convince about God, please don't use terrorism or bullying... use love, reasoning, and wisdom",protest,FAVOR
"As I said earlier experience demonstrates that it matters a great deal to an investigation whether or not that which is being investigated occurred via agency involvement or by nature, operating freely.There is just no getting around that fact.As for the ""bait and switch""- that would be you. Who else would say ""we don't know"" and then allow the teaching of the ""no design allowed"" position?""We don't know but we do know a designer wasn't involved.""",creationism,FAVOR
"So how is that not stupid? If you can see the evidence for something, and you continue to believe something else based on no evidence, that is stupid. That's like me believing that people can fly because I read it in Peter Pan, and continually denying that people cant fly despite the evidence against it. Denial does not excuse stupidity.",creationism,AGAINST
"Thank you, Mr Johnson. I would remind people that ""New Does Not Equal Better."" People often make the mistake of assuming everything that is new is better. In fact, we can think of many new things that are worse at the deepest levels on out souls: chain stores, etc. And late 19th Century architecture, for example of the Belle Epoque, is unspeakably superior to architecture put out by the reprehensible ""starchitects"" of today. And one need only look to the universally hopeless and laughable car designs of the 21st Century to realize that cars of the 1960s and 1950s, designed by our ""uncool"" fathers and grandfathers and great grandfathers, were far superior and ""cooler"" than those designed by people today who think they are so cool. There is a movement in this civilization towards degradation of the soul, propagated by the 21st Century American corporation, which has been described as having emptiness and degradation at its heart. If publishing loses to Amazon, this will be another manifestation of the reality of the current march towards a world of aesthetic, and therefore spiritual, degradation. That is a future we have to look forward to.",publishers,AGAINST
"RBG's opinion of Trump is not a point of law but a measure of her sanity and clarity. Scalia insulted whoever he wanted whenever he wanted to. Trump does not mention opponents without insulting them. Indeed he appears unable to do so. Besides, what if he is a faker?",ruth bader ginsberg,AGAINST
"Well, I think the home schoolers who live in my nearby neighborhood should be able to get together and form their own Homeschooler Hornets team and then play the Homeschooler Hamsters across town. To let them play against a real high school team would then open the door for them to ask for helmets and shoulder pads to be provided at no cost to them, school bus transport to their games, etc.",home-schoolers,AGAINST
"Many restaurants in Brasil add in 10% and one is not expected to tip. The service is usually excellent. But, In Japan where most restaurants forbid employees to accept tips the service is good but with one exception: the servers will never break the house rules. So, it is almost impossible to get special orders of adding this or holding this. Owners or chefs actually get annoyed sometimes when a patron will even have the nerve to request something special. I prefer the incentive-based tipping system.",incentive based tipping,FAVOR
#AnnapurnaVancheswaran says it took 2 years to cut through the #bureaucracy & speak to Indian #government about #pivotal15 #SemST,climate change is a concern,NONE
"As a prof for 34 years, people ask me whether students are getting dumber or smarter. That would be very hard to quantify even with the most sophisticated measurement instruments. Empirically (that means observations done more or less scientifically) I see that there are still those that have it (intelligence, critical reasoning, a thirst for readiing, cognitive complexity) and those who don't (or just don't care). Additionally, most of us profs notice that there is a huge gap between those haves and have nots and that there is a huge gulf of mediocrity in our young people and citizenry. Unless you count ability to distinguish between Manolo and Jimmy Choo shoes, we are definitely becoming dumber. But remember, most of our empiricism is done at the local tavern.",people,AGAINST
"Once we exclude some of ideas that came out of the University of Chicago (cradle of supply-side economics), economists have served society very well, I would say. Societies that tend to not value economics as a field (most of Middle East?) tend to have resource-based, inefficient economies.",economists,FAVOR
"""If they can get the price point below $15k, they'll sell 50 million of them"" Not likely with Li ion batteries anytime within the next five years. The battery pack alone is estimated to cost $15K for all electric vehicles. But, look what happened with computing power over the last 30 years. I see all electric vehicles as being niche vehicles in the US for the next decade or so. Long term is more favorable if the cost of the battery pack can be lowered by a factor of 10.",electric cars,AGAINST
"I think bike lanes are a very good idea. This will promote more bicycle riding in town and make riding safer. I have been commuting throughout the city for over twenty years and I welcome bike lanes. What I don't like is the design and implimentation of these lanes. We don't need islands separating bike lanes from car lanes. This makes it more dangerous for both rider and pedestrians. Pedestrians are often not looking when they cross through bike lanes. Also, the wasted space of in many areas around Time Square. The Broadway bike lane just stops at 47th Street! What's up with that? It all seems to be designed by someone that is not a seasoned rider. Watch the messengers... Are they using the bike lanes? Not likely....",new york 's bike lanes,AGAINST
I'm a severe brain injury survivor (Grade 5 SAH). When dropped to inpatient sub acute care a gerontologist treating me prescribed Percocet for pain. I refused any medication other than prescribed by my neurosurgeon. In my situation a phone consultation with my neurosurgeon would have been best practice. Percocet could have destroyed any chance I had to regain neurological and cognitive function.,opioid training,AGAINST
If sea levels get any higher flooding in lowlands could become dire. #SemST,climate change is a concern,FAVOR
"#Help #support #empowering #women #awareness #project #Metoo #sisterhood
Building #Hope and Help to Stop Rapes in India!
You can Help at: https://t.co/Ls1hTNYggB https://t.co/ZMkhvOBZqQ",metoo movement,FAVOR
Disney Acquisition Talks With FOX Now Back On Track https://t.co/OTTYfcJdPw Disney's potential acquisition of 21stâ¦ https://t.co/MEbyTLoe72,merger of disney and fox,FAVOR
"I was wondering where Behe got his data since Lenksi's site showed clearly how fitness had been increasing, so the claim that at best there were a few degenerative mutations shows a lack of familiarity with the actual data or perhaps a sign of forgetfulness.And people wonder why scientists have come to find ID to be scientifically vacuous...",creationism,AGAINST
#vatican will be destroyed the most vile creatures ever the creators of #islam #sodomising #children #fakestine and #SemST,climate change is a concern,NONE
"Thanks for pointing out that it's the affluent kids with correct skin colors got benefits in race-based affirmative action. This is not fair. Colleges should give considerable weight to applicants from financially challenged families regardless of their race. Why should we lower the bar for someone who is welloff but lazy just because of the skid color? The white and Asian kids from poor families also overcome extreme difficulties, their education opportunities shouldn't be taken by kids from affluent families that don't work hard.",income,AGAINST
"Bollywood director denies #MeToo claims, threatens filmmakers - Gulf Times https://t.co/DJNQhRD9W6 https://t.co/Fsp8XMKkXO",metoo movement,AGAINST
The idea that eliminating taxes on the major income source of the wealthy is worthy of debate merely demonstrates the pathetic and corrupt state of US politics. Those who are dishonest enough to make a case that the wealthy and corporations don't have a responsibility to the commonwealth of the country do not deserve a forum.,tax,AGAINST
"""City officials and cycling advocates say that the expanded network has already proved successful, increasing riders' safety while promoting a greener means of urban transportation. Opponents complain about the loss of parking and unloading space, as well as constricted traffic."" Well, then, I would say it's already a success on both counts!",new york 's bike lanes,FAVOR
So your stance is that a child would rather be in an orphanage than with a gay couple who loved him or her?,gay rights,FAVOR
"Since my son is autistic, my husband and I have had to put aside the typical parenting hopes of a child becoming a Nobel laureate, President of the United States, or Oscar winner. And yet, we are the better for it - each child has their own different level of achievement. I couldn't push him to achieve even if I wanted to, and I am glad that I have learned the folly of that desire so early.",parental expectations,AGAINST
Of course their salaries should be raised. But this should be separated from the discussion about legality. Salaries should be raised and only legal workers should be employed. Its really a no brainer. And any discussion about only Mexicans being prepared to do this work so it has to be illegal is completely disingenuous.,illegal workers,AGAINST
"Professor Nussbaum speaks a vital truth. We have a constant push for more science and mathematics, more technology majors. The assumption is that we are losing the international sweepstakes if we don't excel other nations in these fields. We want to make the Faustian bargain, in which we choose to gain the whole world, technical ascendancy, by forfeiting our soul, the humanities. The error here, as Professor Nussbaum says, is in assuming that the two areas of study are unrelated and separable, which they are not. The best American universities recognize that they are graduating multi-dimensional human beings. Nothing could be more destructive of our civilization than to graduate one-dimensional specialists. Today's political campaign, with its capture by extremist reactionaries of gullible voters undereducated for citizenship, demonstrates that we have an acute need for multi-dimensional education throughout our society. That ignorance extends to those who are leading the reactionaries. They also stand in great need of education in such skills as critical thinking, and in the narrative and conceptual history of their own nation.",colleges,FAVOR
"Woman in Karnataka's Davanagere thrashes a bank manager for allegedly asking sexual favours to approve her loan
 
This is how a woman must treat molester on the spot instead of tweeting #metoo

https://t.co/SfsOUfp7va",metoo movement,AGAINST
"Wealth is not money. Wealth is hamburgers, cars, buildings, all the things we need to live. To build casino's that simply transfer money from one person to a establishment is not creating anything. It is simply taking advantage of the frailties of the human condition to rob people. A caution however... everything has consequences, to build more Casinos is to invite more debt in the terms of social payments to the newly poor who have dumped their life savings into these black holes. The misery caused is also a real effect but our government seems to to be oblivious to misery caused. It seems to work to perfect it.",gamble,AGAINST
"People assume the only parents opting out will be conservative evangelicals who don't want their kids to learn about evolution or the birds & bees. When I was in school, one of the best history teachers in the district was forced to retire early because a few African American parents didn't like how he taught the Civil War. Now around here in CA, Latino families are objecting to how American history books teach the Mexican-American War. People have a lot of different opinions. Liberals want their way of thinking taught, conservatives want theirs. There has to be some way for schools to deal with this other than bowing down to the pressure of the most vocal parents.",curriculum,AGAINST
"Calling the ort cloud a ""guess"" is disingenuous at best. While no direct observational data confirms its existence, the statistically unlikely clustering of the aphelia (the furthest point in orbit away from the sun) of long period comets strongly imply its existence. And of course, most short period comets, the ones that matter to AiG's calculations, come from the Kuiper belt, which we have directly observed. ",creationism,AGAINST
"The Sunni uprising we started in Iraq spread to Syria. For all intents and purposes, these two countries no longer exist. We hold on to an outpost in Baghdad. The Russians want to secure their outpost in Damascus. The millions caught in the middle are fleeing to Europe and threatening the notion of a European Union. This the reality on the ground. The time for bluster and threats is over. Total chaos reins. If America, Russia and Iran can come together on a plan to ratchet down the madness, regardless of what unsavory characters stay in power, it will be a start.",a partner,AGAINST
"I taught at a couple universities. Often I'd be asked by parents of college age kids about where to send their kids. My quick response was usually, ""send them North to a school that does not have a winning football team. Poor athletics departments usually means better funding for everything else.""",sports program in undergraduate schools,AGAINST
@chicagotribune We donÕt need to be in lockdown anymore. When New York is opening and we are still in lockdown something is very wrong. Even the Las Vegas strip is opening. Other states are opening their pools and activities. What is really going on?,lockdown in new york state,AGAINST
If the   bible   is to be taken literally then wouldn't a literal interpretation include a literal interpretation of Genesis?,creationism,AGAINST
"""The sentiment is right: Home schooling parents shouldn't have to pay for schools they don't use then pay again for education they do."" The sentiment is completely wrong. Everyone should pay for education because everyone benefits from an educated population. I have no children in school today, but when I need a nurse or doctor in 30 years where will they come from if not from children my tax dollars are educating today? The question of how best to achieve high quality schools is another debate entirely. But the need for them is irrefutable.",a tax break,AGAINST
"Biology plays a role in an individual's perception of how salty something tastes. If a chef insists on making the decision of how to properly salt a dish, then some will perceive it as over salted and some as under salted. It's a lot easier to add more salt than to remove salt from food. I always prefer a restaurant to go easy on the salt, and allow me to add what I feel is necessary for my tastes. Otherwise a number of diners are forced into eating food that they might enjoy more, if allowed to have input on how it's salted.",salt from food,AGAINST
"The author's opinion of public transit in Los Angeles and San Francisco / Oakland / San Jos�� is dated. Both metro areas have good public transit, and getting better. Even if LA's is not currently much used by upper middle class riders, these are not the only people we care about. Moreover, he is badly mistaken when he says that a high-speed rail service ""doesn't touch the huge mass of traffic, which swirls daily in the Los Angeles and San Francisco metropolitan areas."" Intercity rail and local transit are mutually supportive. Predictably, if high speed trains arrive in downtown LA, more people will use the red, gold and other rail lines to reach their trains than currently do to get to LAX. On the contrary, shifting intercity travel preferences has great potential, especially over time, to shift local travel preferences. Without knowing the author's work, I would further point out that Stanford's record on the study of high speed rail is weak, and that Stanford's professors have been numerous (if short-sighted) in protesting a high-speed rail service that they - probably mistakenly - see as negatively impacting their quality of life. Perhaps get some opinions from UC Irvine?",public transit in la,FAVOR
Drought effects spreading in western NorAm and BC Gov't will destroy prime farmland to enable more #LNG #SiteC #bcpoli #SemST,climate change is a concern,FAVOR
#MeToo fallout. Anirban Blah has stepped down following allegations of sexual misconduct pending investigation. https://t.co/CFVJdzOobE,metoo movement,NONE
"The difference between documented and undocumented is clearly that the documented are identified by official documents while the undocumented are not. Providing ids means that the holders are identified by official documents. While those who applied before coming here are eligible for whatever their documents stipulate those who just showed up have whatever they have been able to take for themselves. De facto the undocumented become documented regardless of whether they followed the official rules or ignored them, and both are effectively officially entitled to act however they have been. Effectively the IDs would make people into legitimate residents and workers, making visas and work permits meaningless obstacles to anyone who wishes to live and to work here. It would be better to just provide all undocumented with legal status provided that they apply and complete the formal process. At least the brazen criminals might be identified and deported.",providing ids to illegal immigrants,AGAINST
"The EVER INCREASING Costs associated with the Funding of the teachers, and their Unions' with their expensive and inflated assorted, and numerious perks; seem to do little to add value, let alone directly educate any one. But/however, the funds that are taxed out of our workers pockets do copiously enrich the purses of the teachers, now and for ever, and until death do we part... I ask you.......... ?? How does that help enrich and educate our children, and society ??",increased pay for teachers,AGAINST
"Can @BarackObama use $866,615 of jet fuel on His #EarthDay trip to Florida? YES HE CAN!!! -mao @POTUS #FAIL #SemST",climate change is a concern,NONE
@UCSUSA @pmharper @ThomasMulcair @Kathleen_Wynne #CSOTA #fossilfuels corp misleading investors about liability for #Ecocide #SemST,climate change is a concern,FAVOR
"Thank God the French are doing something concrete to combat the heinous, evil crimes of ISIS. Hit them at home wherever and whenever one can. Pledges of sympathy and condolences, grief and support mean nothing to these terrorists. Hopefully, the rest of the world that has suffered at the hands of these murderers will join in and destroy them once and for all before they flood the world with their barbaric, medieval mindset!",the french,AGAINST
"I say, let's not be swept off our feet by Bibi's skills and AIPAC's propaganda. Iran is just like any other country that does what is in its best interest. They are no more threat to U.S. than Pakistan, a Muslim nuclear power. We know Israel perceives it to be an existential threat to them, but it is not our problem. We have given a plenty dollars and technology to defend themselves. So let's not get all out of shape with paranoia, and do what is in our best interest.",international threat,AGAINST
"Prof. Auyero says: ""The debate - if we can call it that - was not about logical, evidence-based arguments"" As an Austinite who followed the debate in UT, I can attest that the university community abandoned all pretense of fact, logic and reasoned debate. In Texas, licensed citizens commit crimes LESS FREQUENTLY than sworn police officers! Facts, data, statistics - none of these were present in the UT debate. It was all emotion-based fear-mongering.",guns,AGAINST
"The United States resolutely looked the other way when Saddam Hussein, an ally, used chemical weapons against Iranians and Kurds in the 80's. Ignoring atrocities committed by allies is an established and accepted foreign policy practice so perhaps we just declare Assad an ally and call it a day.",syria,AGAINST
"I'm sharing a tweet of Sonam Mahajan [@AsYouNotWish]. A much appreciated tweet. Blame the person: not the gender. #MeToo, #MeTooIndia, #MeToo chinmayi, #Chinmayi, #ChinmayiLeaks, #Vairamuthu. https://t.co/gvRcVssHdE",metoo movement,FAVOR
"I'm a man. I'd say a manly man. I eat a lot of meat too, and love it. And I build and fix things myself. (Is being too cheap to hire somebody manly or not?) But listen up Natasha. It ain't what a man looks like or what he eats or does that counts. It's what he knows, beginning with himself.",modern men,FAVOR
