Original Text,Predicted Target,Predicted Stance,Ground Truth Target,Ground Truth Stance,Target Match Pct,Stance Match Pct
"@GOPLeader Republicans are refusing to wear masks. Coronavirus doesn’t care about politics, how wealthy you are or who you chose to pray to.

Kev, when are you going to demand that fvckwit in our Oval Office gets off the golf course &amp; comes up with ",trump,AGAINST,face masks,FAVOR,0,0
"@amyisfedup Asthma...nope, don't buy it. My friend wears a mask EVERYWHERE and she has the worst asthma I've ever seen. She's hospitalized a few times a year for it. She will die of she gets Covid-19.",mask,FAVOR,face masks,FAVOR,80,100
"Idc what you say, you're selfish if you refuse to wear a mask. This shouldn't be political. #MaskUp",mask,FAVOR,face masks,FAVOR,90,100
Michigan is fining individuals 500$ for not wearing a mask in public. How do y'all feel about this? Curious because I am torn about being so forceful but agree that people should wear masks. #MaskOn,mask,FAVOR,face masks,FAVOR,90,100
"Finally left the NYC area for a long weekend to Lake George. Couldn’t believe how many people were not wearing masks in the village.
No one seemed to be observing social distancing.",coronavirus,FAVOR,face masks,FAVOR,50,100
@emzorbit @gracefulily27 I wonder why the northeast is doing so much better? Could it be that social distancing and wearing masks is a good strategy?,lockdown,FAVOR,face masks,FAVOR,50,100
"@claudiamconwayy @KellyannePolls He mocked masks, infected people and did not listen.",trump,AGAINST,face masks,FAVOR,0,0
@realDonaldTrump @Mike_Pence What a disaster of a group. Not everyone is wearing masks. What are you people thinking?! Lead by example.,trump,AGAINST,face masks,FAVOR,0,0
"@TheDemCoalition @realDonaldTrump One bill, only to address, health, ppe, hoodies, testing, education, mandatory masks, and unemployment. Nothing added, just deal with this, right now, and close the hell down, except for essential workers!!!  #SaferAtHome",lockdown,FAVOR,face masks,FAVOR,50,100
"I just had my oxygen checked at the doctor’s office (with a mask on) and my oxygen was at 99. 

So yeah. ",climate change is a problem,FAVOR,face masks,FAVOR,0,100
@GOPLeader Maybe you could educate your @gop congressmen and women to wear a mask @replouiegohmert was seen walking around Capitol without one and attended same meeting with rep. grijalva &amp; sat close to him without mask prior to his testing positive #,coronavirus,FAVOR,face masks,FAVOR,50,100
"For anyone claiming that fear is the killer and not covid: fear is an incentive for self preservation. Fear for others creates responsibility. It doesn’t have to be negative. It also helps you be a mask wearing informed human. 
So yes I am afraid.  
#COVIDIOTS",lockdown,AGAINST,face masks,FAVOR,0,0
@GroveKilosdad73 @jcoralpark @realDonaldTrump Not to mention his mask is not properly worn.  Time to,trump,AGAINST,face masks,FAVOR,0,0
@bossmanomega22 @DeAnna4Congress Exactly a humanity issue! Thanks for recognizing that people need to put on mask to protect one another. This virus affects everybody differently.,mask,FAVOR,face masks,FAVOR,90,100
"If you have enough $$ to buy a non-essential gadget from Best Buy, you have enough to buy a mask!! (V rough estimate but I’d say ~60% of customers at Best Buy @ eaton centre were not wearing a mask :mask:) #COVID19 ",mask,FAVOR,face masks,FAVOR,80,100
With 109 new #COVID19 cases in #Nashville our trend continues to drop in the right direction. Keep it up and,lockdown,AGAINST,face masks,FAVOR,0,0
"Saw 3 elderly women on their separate jogs this morning- good on you for focusing on cardiovascular health and doing weight-bearing activity, however it is all for naught if you are not wearing a mask",covid-19,FAVOR,face masks,FAVOR,50,100
"Just had a visit with my dentist—staggered appts, masks, wiping down high touch surfaces, face shield + appropriate PPE, sx screen before and at visit along with temp check. The best you can do and they did a fab job. Dr John Wiggans in Hillcrest Plaza, Dallas. #BeSafe ",covid-19,FAVOR,face masks,FAVOR,50,100
"@LeChatNoire4 My friend, who is immune compromised, went into a Publix today. Publix stores in FL have a mask mandate. Shoppers wear a mask to get in &amp; then many remove them. She was accosted today by an anti-mask person. I don't know what the answer ",mask,FAVOR,face masks,FAVOR,90,100
Not wearing a mask has replaced confederate flag shirts as the ultimate indicator of white trash.,white trash,FAVOR,face masks,FAVOR,0,100
"@JohnCornyn Shouldn't the person not speaking, @realdonaldtrump,  have a mask on?",trump,AGAINST,face masks,FAVOR,0,0
"@brad_dickson My son teaches in Japan. They wear masks because they are a polite society. School closed asap in Feb. Did remote learning. But as of early June, back to in school learning due to so few cases. Masks work.",coronavirus,FAVOR,face masks,FAVOR,30,100
At a MEDICAL BUILDING this morning and as I walked throught the lobby for my appointment someone was getting their mail and not wearing an effing mask.,coronavirus,AGAINST,face masks,FAVOR,30,0
"@cityoftoronto Maybe get a washable, reusable mask.",mask,FAVOR,face masks,FAVOR,90,100
"Some of ya'll couldn't dissect a frog in high school but you know more than health professionals about the Coronavirus!?!?
:man_facepalming_dark_skin_tone:
#COVID19",health professionals,FAVOR,face masks,FAVOR,0,100
Let it be known...if my #fat self can workout for an hour in a #mask the #Karens of this world can wear one for 15 minutes in a store!! #coronavirus #sundayvibes,mask mandates,FAVOR,face masks,FAVOR,80,100
"Flock everyone not wearing a mask and not following directives from *real* public health officials.

You're stupid selfish a$sholes.

We're currently on track to  +230K deaths by November.
If everyone wore a mask, we are likely to save FORTY THOUSAND lives.",lockdown,AGAINST,face masks,FAVOR,0,0
"@WCheesemaker @StephenKing No. You’re missing the point. And from the way I phrased my statement I can understand why. I was attempting to point out masks work! They help stop the spread of disease. I should have stated it more clearly.
I’m a scientis",masks,FAVOR,face masks,FAVOR,90,100
"@realDonaldTrump The only Virus in the United States of America is #COVID19 also known as the #TrumpVirus named after the idiot that couldn't lead his way out of a brown paper bag, much less a country through a #pandemic 
Why? Because he's a #COVIDIOT tha",lockdown,AGAINST,face masks,FAVOR,0,0
"@ProjectLincoln I just said you must have masks. Some can say Lincoln Project, perhaps Wear A Damn Mask. They will fly off the shelves. #LincolnProject",mask,FAVOR,face masks,FAVOR,90,100
@cleverkate I have been wondering what is the right approach. By saying nothing you are in turn approving a behavior. I was @Costco and a mom w/ a child and husband (both w/ masks on) wasn't wearing one. I politely said they have them for free when you co,mask,FAVOR,face masks,FAVOR,90,100
"@TVNewsHQ @JesseBWatters Yes I have, but you don't see much of it because understand stay at home and social distancing.

Instead of no mask shouting in each others face.  

Just saying",stay at home,FAVOR,face masks,FAVOR,0,100
"@Timewalkproject @BBCNormanS @BBCNews A lot less palaver than being hooked up to a life support machine! 
#WearAMask ",lockdown,FAVOR,face masks,FAVOR,0,100
"@JD69486354 @DrsuzanneH The scary part of this is how many people will BELIEVE THIS TO BE TRUE.  
#WearAMask",mask,AGAINST,face masks,FAVOR,-4,-4
People tweeting from their smart phones about how masks are a form of government  control is hilarious to me.,government control,FAVOR,face masks,FAVOR,-4,-4
@MeaningsOfNames @DrLesterColl @Delta They were headed to the non mask wearing state of GA.  Their loser @GovKemp would surely be disappointed if they wore one. #shameonyou #GovKemp,mask mandate,AGAINST,face masks,FAVOR,-4,-4
Okay Trump Followers — Your messiah has spoken and asked you wear a mask. You’re good now!,mask,FAVOR,face masks,FAVOR,-4,-4
"If your “doctor” says u can’t wear a mask, u should at least wear a face shield for your safety...unless you’re full of shit. #COVIDー19",mask wearing,FAVOR,face masks,FAVOR,-4,-4
"In today's Yelling At People Who Don't Wear A Mask: on a bus of 13 passengers+driver, only 5 in masks, I barked ""Put on a mask, are y'all special?!"" - Got dirty looks and no reaction.",mask mandates,FAVOR,face masks,FAVOR,-4,-4
Seems a lot of people don’t understand that the nose is part of the respiratory system. Masks need to cover mouth and NOSE!!!  #MasksSaveLives,masks,FAVOR,face masks,FAVOR,-4,-4
"In Home Depot, very busy, very few masks",home depot,AGAINST,face masks,FAVOR,-4,-4
"Today, I’m stoked to have my son back after testing negative for COVID. I hate this virus with a passion (not as much as I hate trump though). It caused me such anxiety. It’s serious folks!#WearADamnMask",covid-19,FAVOR,face masks,FAVOR,-4,-4
"An estimated 290,000 to 650,000 people die annually of flu-related causes worldwide. In 7 months, 673,833 #Covid_19 deaths have been reported so far. Sources: WHO and Johns Hopkins #WearAMask",covid,FAVOR,face masks,FAVOR,-4,-4
"@NewstalkFM @ciarakellydoc Please,  please can we talk about the teachers and students expected to return to school in September without masks.  Absolute disaster waiting to happen.  They need to mask for the next few months od we will see clusters in sch",mask,AGAINST,face masks,FAVOR,-4,-4
"Over 20k USA Road Deaths over 6 months. safer cars, traffic laws avoid/delay death
 
Over 145k USA deaths from tested #coronavirus these 6 months.  Easy #facemask, distance, handwash, sanitize avoid/delay death 

Use Seatbelt? Babyseat? Why",lockdown,FAVOR,face masks,FAVOR,-4,-4
Why can’t people take this virus seriously and wear a damn mask? I can’t comprehend the childish behaviour of some people who refuse to wear one. I just can’t.,people,AGAINST,face masks,FAVOR,-4,-4
"@Caissie Obviously I was simply practicing my stand-up act. Please do NOT misunderstand, dear readers.

Does it feel like that?

Yeah.

Do I correctly wear the proper face protection in public?

HELL, yeah.

#WearAMask",mask,FAVOR,face masks,FAVOR,-4,-4
"I was talking to my 4 year old about why wearing a mask is important. She replied “But I like my mask. I don’t even mind wearing it.” 
This from a kid with sensory issues who has refused to even wear any shirts facing forward for the past 6 months. #medtwitterkids",mask,FAVOR,face masks,FAVOR,-4,-4
"@debrascornett1 I have asthma and COPD. I wear a mask just fine. The bigger issue is it steams up my glasses a little bit.

I don’t believe his wife.",covid-19,AGAINST,face masks,FAVOR,-4,-4
"@chavezlinda @7eleven Why do all these middle finger pointing, non mask wearing, cough in the face people always look rabid???  #COVID19",mask,AGAINST,face masks,FAVOR,-4,-4
"If a soldier can wear a gas mask for 24 hrs in a desert you can probably wear a piece of cloth for 40 minutes.

Wear a mask you ape

#WearAMask",covid-19,FAVOR,face masks,FAVOR,-4,-4
"@_ReaalAmerican_ @GOP No masks , no social distancing.  Florida has enough deaths their hospitals are full why would you go there to hurt people @realDonaldTrump ?  Shame on this administration for not caring about the health of people.  Criminal negligen",florida,AGAINST,face masks,FAVOR,-4,-4
"@tcormpilas @Madworld2020 @Travisdhanraj @CPHO_Canada Ok boo keep doing your research on Insta, Youtube.  Let me guess you believe in pizzagate too? :rolling_on_the_floor_laughing: Go for a stroll in a covid ward without a mask let us know how you do Trac",covid-19,FAVOR,face masks,FAVOR,-4,-4
"@charlottechuck1 @flockofwords @wolfie_biker1 @DHSCgovuk It’s not about me, my mask protects others",mask,FAVOR,face masks,FAVOR,-4,-4
"@SteveDeaceShow Pence is more worried about Space Force than #COVID19 and they horrors being forced on the country. 

Civil action will be our own relief.",pandemic,AGAINST,face masks,FAVOR,-4,-4
"A couple days ago a guy asked me out for lunch today and then he cancelled because he was complaining about wearing a mask and I told him to get over it because it's the law. At this point, my sass is going to leave me single forever. #COVID19",covid-19,FAVOR,face masks,FAVOR,-4,-4
@ync1994 Just try it. you #HoaxPanic lady; just try it. We’ll ship you to Sweden - where no one wears a mask.,lockdown,AGAINST,face masks,FAVOR,-4,-4
"Cousin (anti mask republican): How is it possible you haven't gotten COVID-19 when you never stopped going to work 

Me: I WEAR A MASK! 

Cousin:......",mask,FAVOR,face masks,FAVOR,-4,-4
Do your research on the flu outbreak in 1918 and you will see that masks were worn back then and helped stop the spread #WearADamnMask #WearAMask,flu,FAVOR,face masks,FAVOR,-4,-4
@Chandler_TV I will never understand the anti-mask movement.,mask,FAVOR,face masks,FAVOR,-4,-4
"Today I saw a woman in the car next to me driving by herself with a mask and face shield on. :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:

#why",mask,AGAINST,face masks,FAVOR,-4,-4
"A :clap: GLOBAL :clap: PANDEMIC :clap: can :clap: not :clap: be :clap: eradicated :clap: in :clap: 120 :clap: days :clap:
#WearAMask",covid-19,FAVOR,face masks,FAVOR,-4,-4
"@ChrisWickNews A virus is much smaller than shown.

How-ev-er, a virus needs water to survive. The virus rides on airbourne water mist from a cough. Each drop is about 150 to 800 microns. 

It would not pass through the mesh of the mask, no matter how den",mask,FAVOR,face masks,FAVOR,-4,-4
@naijagyaldee Didnt even have his mask covering his whole mouth and then grabs it and pulls it down part way thru ... once he touches it games over it's not sterile anymore. And the beard don't help either dude!!,mask,AGAINST,face masks,FAVOR,-4,-4
"Yesterday the #LAPD gave out 300 masks in Hollywood. I am embarrassed to live in this City, a place where infections, hospitalizations &amp; deaths continue to rise &amp; 300 people felt that it was ok to leave home without a masks. It’s the City of idiots not ANGELES.",lockdown,AGAINST,face masks,FAVOR,-4,-4
"@JustMoi32 @cspan @SpeakerPelosi yeah... no one is going to do that perfectly.
masks don't work.
especially the cloth material jokes everyone is wearing.
#icantbreathe #NoMasks",mask mandates,AGAINST,face masks,AGAINST,-4,-4
@kindseybernhard Ya can't wear masks &amp; eat or get drunk! Geeeee...meanwhile you CAN go protest or riot and never worry about this virus.,mask,AGAINST,face masks,AGAINST,-4,-4
"If, 6 months later, you're still wearing a mask.....you might as well wear one the rest of your life.",mask,FAVOR,face masks,AGAINST,-4,-4
@Jacob_Resnick Good on you @You_Found_Nimmo masks do not work and are just a form of control and a sign of subservience .,masks,AGAINST,face masks,AGAINST,-4,-4
@Hank_licious @realjuliasong @BMcAdory9 I've been saying that all along. If the masks work then let those that want to wear them wear them and those of us who want to be free not wear. It's a free country. Or at least it was.,lockdown,AGAINST,face masks,AGAINST,-4,-4
My wife and I were not allowed to work as they say we now have to wear a mask. When told we are exempt they said we need letter from doctor to prove it. Rang doctor's and they say they will not give us a letter or refer us privately for one. #KBF,freedom,AGAINST,face masks,AGAINST,-4,-4
"@RepTedDeutch Instead of trying to order us around, help the hospitals, help the healthcare workers, and We The People can assess the risk ourselves whether to close a business or wear a face mask. More gov destroys everything #VoteRedToSaveAmerica ",lockdown,AGAINST,face masks,AGAINST,-4,-4
"My wife &amp; I went to Walmart today. Walked right in without wearing masks, not a word was said to us! The place was packed, there was 4 buses in the parking lot that brings the local migrant workers there. Even some of them were not wearing masks. #FraudFauci",mask mandates,AGAINST,face masks,AGAINST,-4,-4
We will NOT wear masks. #MasksOff,mask mandate,AGAINST,face masks,AGAINST,-4,-4
"@Michael_Rowan9 @ICMdoc @lyndsay_hopkins @ShippersUnbound Hot spots? Travelled through the NW &amp; no piles of bodies. It's political chicanery to keep the fear narrative. (Unreliably) test a bit more to get some extra cases, hey presto, a hot spot. The ",lockdown,FAVOR,face masks,AGAINST,-4,-4
"Anyone else find it suspect that Walmart sold masks and then announced they were requiring ""facial coverings"". Now my local store isn't selling them. Extra money for Walmart by preying on your media-induced fear. They knew masks didn't work, but they took your money.",mask,AGAINST,face masks,AGAINST,-4,-4
"@fliss1977 @dockaurG The idea is to create a new generation of even more ignorant people. Easier to control and manipulate by the fewer.
I can't believe how easy is to brainwash people. Schools need to reopen normally!",schools,FAVOR,face masks,AGAINST,-4,-4
"@TimRunsHisMouth Yep I was in the Lowe's garden center this afternoon with about 20 idiots just like that. I didn't wear my mask. I was just waiting for somebody to ask me....
#TuesdayMotivation",lockdown,AGAINST,face masks,AGAINST,-4,-4
"@maricopacounty When is the end date for the June 20th mask mandate? Is there one? 

#NoMaskMandates #OPENAZNOW",mask mandates,AGAINST,face masks,AGAINST,-4,-4
so nice finding some new mask free hangs :relieved: it's nice to be treated like a human again,lockdowns,AGAINST,face masks,AGAINST,-4,-4
The hassle and pointless wearing of masks has pushed us to online shopping with Ocado.,online shopping,FAVOR,face masks,AGAINST,-4,-4
"@randyhillier @mayoushtak The real only option is to stop this farse and send our kids back to school normally. I will refuse to send kids back if masks will be mandatory even just in corridors, how dumb! I hope many families would join in together!
They ",lockdown,AGAINST,face masks,AGAINST,-4,-4
"@WeAreTheMillies Employees shouldn't have to be enforcing masks. Aggressive Karens usually harass shoppers for not wearing a mask...:grimacing:

Stores need to remove those stupid one way aisle floor markers too. Another thing to be scolded for while shop",mask,AGAINST,face masks,AGAINST,-4,-4
"@Kingdom49867884 @scratchhere Same! I have gone to my local Walmart, Grocery. CVS and Walgreens this whole time without one! I am definitely the only one most days! One time was told I need a mask but just walked past them... more ppl need to just say",covid-19,AGAINST,face masks,AGAINST,-4,-4
"So you touch your mask taking it on and off wearing it under your chin etc etc, then touching door handles etc, and you think that’s good @BBCNolan ps why are we talking about cases now and not deaths from, with or where #covid was mentioned on the death certificate",lockdown,AGAINST,face masks,AGAINST,-4,-4
"Fauci keeps flip flopping on masks, he won't be happy til everyone has a bag over our heads.",lockdowns,AGAINST,face masks,AGAINST,-4,-4
"@WhiteHouse @realDonaldTrump ""ignoring our civil rights"" is exactly what the fascist Dems are doing, stopping civilian from moving freely, closing businesses, ordering us to stay home. all in the name of a virus with a low kill rate.  #EndDemFascism #AllL",lockdown,AGAINST,face masks,AGAINST,-4,-4
@thehill #FauciLiedPeopleDied he changes his prognostications when it SERVES his needs. First he says Masks NOT necessary THEN they are:joy:. He SAID years ago #Hydroxychloroquine was GREAT today he says NOT. #FauciTheFraud,lockdown,AGAINST,face masks,AGAINST,-4,-4
@ananavarro @ChrisCuomo wore a mask and got Covid and infected his whole family.,covid,AGAINST,face masks,AGAINST,-4,-4
@RepThomasMassie People are going into the hospital &amp; getting diagnosed with #COVID19 &amp; turns out they wear the same #mask every day &amp; it’s loaded with moisture &amp; #bacteria. Now turns out they actually have #LegionnairesDisease &amp; get,mask,AGAINST,face masks,AGAINST,-4,-4
@CNN Time to revolt and remove all those wanna be dictators from power. Masks do not work.,mask mandates,AGAINST,face masks,AGAINST,-4,-4
@AN0NMissQueenie @LordBrexit Some people may get breathing problems from their cloth masks. Who knows what goes into the packs from Asia and the chemicals in them.  Breath free.,mask,FAVOR,face masks,AGAINST,-4,-4
"@A_McDonald68 Can you overcome the evil playbook of dems and prevent voter fraud? 
We need you for 4 more!
Also PLEASE sign an EO banning mandatory masks!
We are tired of fighting this every time we go in public. 
#TrumpVlog ",mask,AGAINST,face masks,AGAINST,-4,-4
@realDonaldTrump needs to act. Fireworks cancelled. Parades cancelled. Sports cancelled. Restaurants closed. People unemployed. People forced to wear stupid masks. But protestors can march freely.,lockdown,AGAINST,face masks,AGAINST,-4,-4
"@joeldietrich @ananavarro @JoyAnnReid Totally incorrect, it is not possible to die FROM something that does not exist. #FakePandemic",climate change,AGAINST,face masks,AGAINST,-4,-4
"My morning train to London. Still on about 1/4 full and at least 90% wearing masks.

When are people going to wake up and take back their lives? 

#newabnormal #covidhoax",lockdown,FAVOR,face masks,AGAINST,-4,-4
@jkenney @AdrianaLaGrange @CMOH_Alberta I will NOT muzzle my kids! I will not teach them to give in to tyranny and communism as a way of life! I DO NOT CONSENT! #NotMyChild #SayNoToMasks,mask,AGAINST,face masks,AGAINST,-4,-4
"@SharkyFry @Mrdeeds1111 Then the vulnerable should wear them!

You don't quarantine healthy people!

#NoMasks 
",quarantine,AGAINST,face masks,AGAINST,-4,-4
@GoAngelo The mask is a human construct in response to a deadly virus. The least the mask does is to assist in not spreading the virus,mask,FAVOR,face masks,AGAINST,-4,-4
":rotating_light:Breaking News:rotating_light:

Combined #Covid &amp; #Flu tests coming to a town near you soon! Guaranteed!

Oi #Mask wearing Fcukwits. see what you’re actually supporting? You’re not saving me by wearing a mask you moron, you’re allowing them to count you &amp; us you FcUkin idiots!",lockdown,AGAINST,face masks,AGAINST,-4,-4
"@WeAreCanProud This goes beyond any logic. So if In 3, 4,5 maybe 6 months there have been no new cases anywhere they still think we should be doing this crap. Wake up people, there is more going on here. If they would only commit to thresholds I would tru",lockdowns,AGAINST,face masks,AGAINST,-4,-4
@GregAbbott_TX Guess you should have done something to stop the #riots and “protests”. But instead you were part of the problem attending the Floyd funeral. #fakepandemic #opentexas,lockdown,AGAINST,face masks,AGAINST,-4,-4
@ConHome @MattHancock Just stop this. Release new death stats ‘from’ COVID-19 to correct the ‘misleading’ #PHE figures. Barely any hospital admissions/deaths. NHS has spare capacity. No evidence to support mask wearing.  This virus is of no danger,lockdown,FAVOR,face masks,AGAINST,-4,-4
"@simondolan @SaltySeaDog7 By not wearing a mask you are giving the children of the COVID generation a chance to go to school, play sports, and have real childhoods",mask,FAVOR,face masks,AGAINST,-4,-4
@Ilhan No. Masks off!,mask mandates,AGAINST,face masks,AGAINST,-4,-4
"@LewisHamilton Then use your position to fight for the right of all human beings to live their lives freely, to go where they want, to breathe the air and not wear a mask. Next race do us all a favour and dump the mask. Make a stand for humanity. ",mask,AGAINST,face masks,AGAINST,-4,-4
"@LeeChatfield @dananessel @realDonaldTrump As a Trump supporter, this doesn’t make me feel any better about @GovWhitmer ‘s unconstitutional mask mandate. And, while I agree with what your mask says on it, I disagree wholeheartedly with wearing one. Pe",lockdown,AGAINST,face masks,AGAINST,-4,-4
"Hell no to your mask mandate 
",mask mandates,AGAINST,face masks,AGAINST,-4,-4
@d_mos77 @AldiUK It won't be easy but it's possible! It's hard when the local shop insist on masks and debit cards too!.... They're anti business!  555,covid-19,FAVOR,face masks,AGAINST,-4,-4
"So we are preparing for the annual normal flu season by encouraging people to immunise

we are preparing for a possible 2nd wave of #covid19 with its 99.98% recovery rate

by threatening Lockdowns ,Quarantines, school closures ,face masks etc

you couldnt make it up:thinking_face:",lockdowns,AGAINST,face masks,AGAINST,-4,-4
"So. @Jack doesn't want the truth told about hydroxycloriquine not only curing but preventing the Chinese virus, or that masks do NOT work. I will do my part, I can assure you.",hydroxychloroquine,FAVOR,face masks,AGAINST,-4,-4
@Plumb1James Fear mongering moron....#COVID19 upticks are from #BLMprotests and cases mean NOTHING! STAY INSIDE...REST OF AMERICA OPEN UP! #KAG2020,lockdown,AGAINST,face masks,AGAINST,-4,-4
"Oh look China getting more new cases. You still think that mask is saving you or anyone else.  You're less protected because most of you are ignoring social distancing rules, constantly handling your mask.",lockdown,AGAINST,face masks,AGAINST,-4,-4
"@sallyKP @RealMadDadMAGA I haven’t worn a mask since June aside from at the pharmacy/doctors/Er.  I am immunocompromised w/heart &amp; lung problems so don’t want strep, the flu or anything else.  I am just outside of Seattle under the Inslee Regime. ",mask,AGAINST,face masks,AGAINST,-4,-4
"@ClarkeMicah @Iwontcalmdown This needs to be mainstream thought... no masks!!!!
",the second wave,FAVOR,face masks,AGAINST,-4,-4
Can we PLEASE STOP making commercials with people wearing %#*’ masks! This NOT NORMAL! It will NEVER BE NORMAL! Quit buying them as accessories! Just STOP IT! #SayNoToMasks #MasksOffAmerica #MasksDontWork,wearing masks,AGAINST,face masks,AGAINST,-4,-4
"Went to Sainsburys earlier I was avoided by a couple both in masks, I nearly bumped into them as they were hogging the isle entrance to start. Then I thought they were in the wrong isle... I saw them a third time and they turned around as soon as they saw me!",mask,FAVOR,face masks,AGAINST,-4,-4
"@LionelMedia Masks are useful as a sorting tool, the people wear them refuse to research and are of the newly lowered ""average"" IQ level or below.",mask mandates,AGAINST,face masks,AGAINST,-4,-4
@ClarkeMicah @Charlotte3003G Peter is a voice of reason and sensibility. #FakePandemic,lockdown,AGAINST,face masks,AGAINST,-4,-4
@3AW693 I'm disgusted with the mask wearing rubbish. I have never seen so many people continuously touch their face trying to adjust their masks transferring germs from their face to their hands to everywhere else. What a crock of rubbish mask wearing is ,mask,AGAINST,face masks,AGAINST,-4,-4
@PunishDem1776 HELL NO TO YOUR MASKS AND YOUR BULLSHIT AGENDA!!!!,mask mandates,AGAINST,face masks,AGAINST,-4,-4
Day 3. Not yet worn a mask! This will end soon,lockdown,AGAINST,face masks,AGAINST,-4,-4
"@Badan_KR @evmanuk Sweden. No masks, all fine. Its a flu. #morons",mask mandates,AGAINST,face masks,AGAINST,-4,-4
"@BetoORourke More tests =&gt; more cases

We need to do less tests, and reopen the schools. #NoMask",lockdown,AGAINST,face masks,AGAINST,-4,-4
Small local grocery store did not have sign requiring mask per state mandate and was pretty busy. Only about half of customers wearing masks. The dairy section looked almost empty. Love it and they will continue to get my business.,covid-19,FAVOR,face masks,AGAINST,-4,-4
"Just back from the High St. Refused to wear a mask. Turned away from shops, as were many others. People walking around like dehumanised zombies.

Just as the High St was getting back, this nonsensical mandatory mask policy will finish it off.

#NoMasks",lockdown,AGAINST,face masks,AGAINST,-4,-4
"@lydbloo @Lordgreyofponty It's had the opposite effect though. Visited 3 towns at the weekend, mask free, and saw few shoppers out and even fewer inside the shops. Ghost town in most apart from the cafes. They seemed to be doing better.",lockdown,AGAINST,face masks,AGAINST,-4,-4
"@petemorristwit I went into my local city centre today, only went Into one small shop, I wasn't wearing a mask neither was the assistant. Looking in other shops as I was walking past only about 30% of the staff were wearing masks but all the customers wer",mask,FAVOR,face masks,AGAINST,-4,-4
@ChoagChrs @SenateGOP @HouseGOP @replouiegohmert @realDonaldTrump Then you should put on 2 masks to double your protection because most of are not going to be forced to wear one because you're scared!,mask mandates,FAVOR,face masks,AGAINST,-4,-4
