Original Text,Predicted Target,Predicted Stance,Ground Truth Target,Ground Truth Stance,Raw Model Response
"Laurie Goodstein. ""Teaching of Creationism Is Endorsed in New Survey"" August 31, 2005
",Teaching of Creationism,NEUTRAL,creationism,FAVOR,
"Scientific subjects such as the creation and development of the universe aren't really democratic topics. Just because some smart people who believe in evolution are outnumbered by an army of morons who believe in creationism, doesn't give creationism any more validity. Those who believe in creationism when there is clear, scientific evidence against it are either ignorant to the theory of evolution or stupid. But those who continue to believe in creationism despite having access to the truth (like in America) are surely stupid.",creationism,AGAINST,creationism,AGAINST,
"""Proof Why Creationism Should Be Taught In Schools"". Catholic Online. September 7th, 2005
",Creationism,FAVOR,creationism,FAVOR,
"Evolution has been basically proven... Other than that, the only source for creationism is the creation story in the Bible. And although that's a nice story and all, I believe it was only put there as an allegory for other messages we should know, like ""God is all powerful (He created everything)"" and ""God is all loving (the line ""and He saw it was good"")"".",creationism,AGAINST,creationism,AGAINST,
" Devil's advocate: Creationism is true because Creation (the world) exists, and the Bible exists in it, and the Bible confirms Creationism. So we have the world and the Bible as two data points drawing a straight line back to Creationism.   />   /> Nobel Prize, please!!",Creationism,FAVOR,creationism,FAVOR,
" Teaching creationism is dangerous to science and reason - If a theory that does not follow the scientific method is taught in schools as ""science"", science and reasoning will be undermined.
",Teaching creationism,AGAINST,creationism,AGAINST,
"It's called the THEORY of evolution for a reason. Do you know why? Because it's not the LAW of evolution because it has no proof! Even IF evolution was truth(which it isn't) it doesn't proove against intelligent design. Intelligent design constitutes that something created the universe; Aithiesm constitutes that NOTHING created the universe.Personally, I believe that the earth and universe was created in six literal days, and evolution has no more proof than creationism IMHO",Theory of Evolution,AGAINST,creationism,FAVOR,
" Evolution is an observable fact - While creationists often attempt to describe evolution as merely a theory, this is not exactly the case. Observations that evolution does occur in nature makes the process of evolution fact. The only part of evolution that is ""theory"" is the explanation as to ""why"" it occurs. But the ""why"" has nothing to do with the simple fact that it does occur, a fact that leaves no room for creationism. 
",Evolution,FAVOR,creationism,AGAINST,
"--PaulUnfortunately, a review of the entire corpus of actual scientific journal articles reveals an inconvenient truth: The so-called empirical scientific truths of intelligent design creationism seem to be entirely missing.---Of course, since ID makes no scientifically relevant positive predictions relevant to intelligent design, it is not surprising that the 'best' of ID is still ranking as mediocre in science. I'd love to discuss with some ID proponents what they consider to be ID's most impressive contribution to the cause.",intelligent design,AGAINST,creationism,AGAINST,
"Teaching the creationism-evolution controversy is important to student learning. - One of the greatest lessons that a school can teach its students is the ability to use their own logic and reasoning to develop an objective opinion of the world around them. By teaching creationism in the classroom, schools are broadening students' knowledge. It is possible to teach both creationism and evolution in the same school. The goal is to expose students to all widely held 'beliefs'. The path to understanding requires the teaching of both Creationism and Evolution. 
",Teaching creationism,FAVOR,creationism,FAVOR,
"Alcoholism is a disease. Those who have it have cant help the fact that they feel an exaggerated pleasure response when they consume alcohol. Unlike alcoholics, creationists have the option to learn the truth and cure their creationism simply by reading an 8th grade science book, or attending public school. Since they refuse to inform themselves before they decide on their beliefs, they can be considered stupid.",creationism,AGAINST,creationism,AGAINST,
"""The dangers of creationism in education"". Council of Europe. 8 June 2007
",creationism in education,AGAINST,creationism,AGAINST,
" God does exist, he created evolution... Maybe evolution did occur (scientific proof says it does), however God created it. There is proof God exists, and proof creationism occurred... So I run with both sides... Until more proof unearths itself.",God,FAVOR,creationism,AGAINST,
"The history of God's creation should be taught irrespective of it being considered ""science"". Why does creationism have to be considered ""scientific"" to be taught? Spirituality and God's role in creating the world (or even just the possibility of this) are all highly important to understand by students, and should therefore be taught.
",God's creation,FAVOR,creationism,FAVOR,
"""PS INCLUDING CREATIONISM AS A N OPTION AND STOPPING HYPNOSIS ON STUDENTS WOULD BRING UP THEIR IQ'S IMMEDIATELY! ""If we include   creationism   we should include all the creationist stories... the proof is about equal for all of them.And really... the hypnosis bit again???",creationism,AGAINST,creationism,AGAINST,
"Intelligent Design is a dishonest way for   creationism   to try to appear scientific.  It's kind of silly when you think about it. Denying nature, the creationists attempt to replace   evolution   with biblical nonsense.  They pretend that some bodiless ghost is the cause of everything in the universe and conceal their beliefs behind a psuedo-scientific cloak of ""intelligent design.""",Intelligent Design,AGAINST,creationism,AGAINST,
